id_piscine,id_ban_choisi_humain,id_ban_assigne_auto,concordance,n_votes,accord
78,49035_0146_00021,49035_0146_00021,true,1,1.00
79,49035_0084_00004,49035_0084_00004,true,1,1.00
8,49035_0096_00031,49035_0096_00031,true,1,1.00
80,49035_0084_00004,49035_0084_00004,true,1,1.00
81,49035_0146_00018,49035_0146_00018,true,1,1.00
82,49035_0146_00026,49035_0146_00026,true,1,1.00
83,49035_0131_00002,49035_0131_00002,true,1,1.00
84,49035_0131_00003_bis,49035_0131_00003_bis,true,1,1.00
85,49035_0057_00015,49035_0057_00015,true,1,1.00
86,49035_0046_00001,49035_0046_00001,true,1,1.00
87,49035_0065_00002,49035_0065_00002,true,1,1.00
88,49035_0131_00020,49035_0131_00020,true,1,1.00
9,49035_0096_00014,49035_0096_00014,true,1,1.00
90,49035_0146_00050,49035_0146_00050,true,1,1.00
91,49035_0116_00043,49035_0116_00043,true,1,1.00
92,49035_0116_00035,49035_0116_00035,true,1,1.00
93,49035_0048_00010_bis,49035_0048_00010_bis,true,1,1.00
94,49035_0048_00010_ter,49035_0048_00010_ter,true,1,1.00
95,49035_0116_00002_bis,49035_0116_00002_bis,true,1,1.00
96,49035_0045_00006_bis,49035_0045_00006_bis,true,1,1.00
97,49035_0045_00008,49035_0045_00008,true,1,1.00
98,49035_0045_00010,49035_0045_00010,true,1,1.00
99,49035_0048_00020,49035_0048_00020,true,1,1.00
